city,barangay
Alcantara,Cabadiangan
Alcantara,Cabil-isan
Alcantara,Candabong
Alcantara,Lawaan
Alcantara,Manga
Alcantara,Palanas
Alcantara,Poblacion
Alcantara,Polo
Alcantara,Salagmaya
Alcoy,Atabay
Alcoy,Daan-Lungsod
Alcoy,Guiwang
Alcoy,Nug-as
Alcoy,Pasol
Alcoy,Pugalo
Alcoy,San Agustin
Alegria,Compostela
Alegria,Guadalupe
Alegria,Legaspi
Alegria,Lepanto
Alegria,Madridejos
Alegria,Montpeller
Alegria,Santa Filomena
Alegria,Valencia
Aloguinsan,Angilan
Aloguinsan,Bojo
Aloguinsan,Bonbon
Aloguinsan,Esperanza
Aloguinsan,Kandingan
Aloguinsan,Kantabogon
Aloguinsan,Kawasan
Aloguinsan,Olango
Aloguinsan,Punay
Aloguinsan,Rosario
Aloguinsan,Saksak
Aloguinsan,Tampa-an
Aloguinsan,Toyokon
Aloguinsan,Zaragosa
Argao,Alambijud
Argao,Anajao
Argao,Apo
Argao,Balaas
Argao,Balisong
Argao,Binlod
Argao,Bogo
Argao,Bug-ot
Argao,Bulasa
Argao,Butong
Argao,Calagasan
Argao,Canbantug
Argao,Canbanua
Argao,Cansuje
Argao,Capio-an
Argao,Casay
Argao,Catang
Argao,Colawin
Argao,Conalum
Argao,Guiwanon
Argao,Gutlang
Argao,Jampang
Argao,Jomgao
Argao,Lamacan
Argao,Langtad
Argao,Langub
Argao,Lapay
Argao,Lengigon
Argao,Linut-od
Argao,Mabasa
Argao,Mandilikit
Argao,Mompeller
Argao,Panadtaran
Argao,Sua
Argao,Sumaguan
Argao,Tabayag
Argao,Talaga
Argao,Talaytay
Argao,Talo-ot
Argao,Tiguib
Argao,Tulang
Argao,Tulic
Argao,Ubaub
Argao,Usmad
Asturias,Agbanga
Asturias,Agtugop
Asturias,Bago
Asturias,Bairan
Asturias,Banban
Asturias,Baye
Asturias,Bog-o
Asturias,Kaluangan
Asturias,Lanao
Asturias,Looc Norte
Asturias,Lunas
Asturias,Magcalape
Asturias,Manguiao
Asturias,New Bago
Asturias,Owak
Asturias,San Isidro
Asturias,San Roque
Asturias,Santa Lucia
Asturias,Santa Rita
Asturias,Tag-amakan
Asturias,Tagbubonga
Asturias,Tubigagmanok
Asturias,Tubod
Asturias,Ubogon
Badian,Alawijao
Badian,Balhaan
Badian,Banhigan
Badian,Basak
Badian,Basiao
Badian,Bato
Badian,Bugas
Badian,Calangcang
Badian,Candiis
Badian,Dagatan
Badian,Dobdob
Badian,Ginablan
Badian,Lambug
Badian,Malabago
Badian,Malhiao
Badian,Manduyong
Badian,Matutinao
Badian,Patong
Badian,Sanlagan
Badian,Santicon
Badian,Sohoton
Badian,Sulsugan
Badian,Talayong
Badian,Taytay
Badian,Tigbao
Balamban,Abucayan
Balamban,Aliwanay
Balamban,Arpili
Balamban,Baliwagan (Pob.)
Balamban,Bayong
Balamban,Biasong
Balamban,Buanoy
Balamban,Cabagdalan
Balamban,Cabasiangan
Balamban,Cambuhawe
Balamban,Cansomoroy
Balamban,Cantibas
Balamban,Cantuod
Balamban,Duangan
Balamban,Gaas
Balamban,Ginatilan
Balamban,Hingatmonan
Balamban,Lamesa
Balamban,Liki
Balamban,Luca
Balamban,Matun-og
Balamban,Nangka
Balamban,Pondol
Balamban,Prenza
Balamban,Santa Cruz-Santo Niño (Pob.)
Balamban,Singsing
Balamban,Sunog
Balamban,Vito
Bantayan,Atop-atop
Bantayan,Baigad
Bantayan,Baod
Bantayan,Binaobao (Pob.)
Bantayan,Botigues
Bantayan,Lipayran
Bantayan,Sungko
Barili,Azucena
Barili,Bagakay
Barili,Balao
Barili,Bolocboloc
Barili,Budbud
Barili,Bugtong Kawayan
Barili,Cabcaban
Barili,Cagay
Barili,Campangga
Barili,Candugay
Barili,Dakit
Barili,Giloctog
Barili,Giwanon
Barili,Guibuangan
Barili,Gunting
Barili,Hilasgasan
Barili,Japitan
Barili,Kalubihan
Barili,Kangdampas
Barili,Luhod
Barili,Lupo
Barili,Luyo
Barili,Maghanoy
Barili,Maigang
Barili,Malolos
Barili,Mantalongon
Barili,Mantayupan
Barili,Mayana
Barili,Minolos
Barili,Nabunturan
Barili,Nasipit
Barili,Pancil
Barili,Pangpang
Barili,Paril
Barili,Patupat
Barili,San Rafael
Barili,Santa Ana
Barili,Sayaw
Barili,Tal-ot
Bogo City,Anonang Norte
Bogo City,Anonang Sur
Bogo City,Binabag
Bogo City,Bungtod (Pob.)
Bogo City,Carbon (Pob.)
Bogo City,Cayang
Bogo City,Cogon (Pob.)
Bogo City,Don Pedro Rodriguez
Bogo City,Gairan
Bogo City,La Paz
Bogo City,La Purisima Concepcion (Pob.)
Bogo City,Libertad
Bogo City,Lourdes (Pob.)
Bogo City,Malingin
Bogo City,Marangog
Bogo City,Nailon
Bogo City,Odlot
Bogo City,Pandan (Pandan Heights)
Bogo City,Polambato
Bogo City,Sambag (Pob.)
Bogo City,San Vicente (Pob.)
Bogo City,Santo Niño
Bogo City,Santo Rosario (Pob.)
Bogo City,Siocon
Bogo City,Sudlonon
Bogo City,Taytayan
Boljoon,Arbor
Boljoon,Baclayan
Boljoon,El Pardo
Boljoon,Granada
Boljoon,Lower Becerril
Boljoon,Lunop
Boljoon,San Antonio
Boljoon,South Granada
Boljoon,Upper Becerril
Borbon,Bagacay
Borbon,Bili
Borbon,Bingay
Borbon,Bongdo
Borbon,Bongdo Gua
Borbon,Bongoyan
Borbon,Cadaruhan
Borbon,Cajel
Borbon,Campusong
Borbon,Clavera
Borbon,Don Gregorio Antigua (Taytayan)
Borbon,Laaw
Borbon,Lugo
Borbon,Managase
Borbon,Sagay
Borbon,San Jose
Borbon,Tabunan
Borbon,Tagnucan
Carcar City,Bolinawan
Carcar City,Buenavista
Carcar City,Calidngan
Carcar City,Can-asujan
Carcar City,Liburon
Carcar City,Napo
Carcar City,Ocana
Carcar City,Perrelos
Carcar City,Poblacion I
Carcar City,Poblacion II
Carcar City,Poblacion III
Carcar City,Tuyom
Carcar City,Valladolid
Carmen,Baring
Carmen,Cantipay
Carmen,Cantukong
Carmen,Cantumog
Carmen,Caurasan
Carmen,Cogon East
Carmen,Cogon West
Carmen,Corte
Carmen,Dawis Norte
Carmen,Dawis Sur
Carmen,Hagnaya
Carmen,Ipil
Carmen,Lanipga
Carmen,Liboron
Carmen,Lower Natimao-an
Carmen,Luyang
Carmen,Puente
Carmen,Sac-on
Carmen,Triumfo
Carmen,Upper Natimao-an
Catmon,Agsuwao
Catmon,Amancion
Catmon,Anapog
Catmon,Bactas
Catmon,Binongkalan
Catmon,Bongyas
Catmon,Cabungaan
Catmon,Cambangkaya
Catmon,Can-ibuang
Catmon,Catmondaan
Catmon,Corazon (Pob.)
Catmon,Duyan
Catmon,Flores (Pob.)
